Column1,Title,Open Date,budget,Genre,Total Gross
1110,Underworld: Evolution,1/12/06,50000000,Fantasy,111340801
932,V for Vendetta,3/15/06,54000000,Action,132511035
514,Ice Age: The Meltdown,3/23/06,80000000,Animation,660940780
918,Inside Man,3/23/06,45000000,Crime,184376254
947,Silent Hill,4/21/06,50000000,Horror,97607453
139,Mission: Impossible III,5/3/06,150000000,Adventure,397850012
104,Poseidon,5/12/06,160000000,Adventure,181674817
201,The Da Vinci Code,5/17/06,125000000,Thriller,767820459
885,The Break-Up,6/1/06,52000000,Romance,204999686
405,The Fast and the Furious: Tokyo Drift,6/3/06,85000000,Action,158468292
566,Cars,6/8/06,120000000,Animation,461983149
1204,The Lake House,6/16/06,40000000,Romance,114830111
12,Pirates of the Caribbean: Dead Man's Chest,6/20/06,200000000,Adventure,1065659812
1366,The Devil Wears Prada,6/30/06,35000000,Comedy,326551094
869,"You, Me and Dupree",7/14/06,54000000,Comedy,130431368
533,Monster House,7/21/06,75000000,Animation,140175006
3238,Little Miss Sunshine,7/26/06,8000000,Comedy,100523181
554,Talladega Nights: The Ballad of Ricky Bobby,8/4/06,72500000,Comedy,162966177
679,Little Man,8/31/06,64000000,Comedy,101595121
672,Perfume: The Story of a Murderer,9/13/06,50000000,Crime,132180323
2529,The Queen,9/15/06,15000000,Drama,123384128
399,Open Season,9/29/06,85000000,Adventure,197309027
351,The Departed,10/5/06,90000000,Drama,289847354
1196,The Prestige,10/19/06,40000000,Drama,109676311
2315,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,11/1/06,18000000,Comedy,261572744
277,Casino Royale,11/14/06,150000000,Adventure,599045960
385,Happy Feet,11/16/06,100000000,Animation,384335608
395,The Holiday,12/8/06,85000000,Comedy,194168700
687,300,12/9/06,65000000,Action,422610419
292,Eragon,12/14/06,100000000,Fantasy,249288105
1960,Rocky Balboa,12/20/06,24000000,Drama,155721132
526,Dreamgirls,12/25/06,70000000,Drama,154937680
217,Ghost Rider,2/16/07,110000000,Thriller,228738393
1841,Bridge to Terabithia,2/16/07,60000000,Adventure,137587063
1280,Disturbia,4/12/07,20000000,Thriller,117760134
5,Spider-Man 3,5/1/07,258000000,Fantasy,890871626
106,Shrek the Third,5/17/07,160000000,Fantasy,798958165
1,Pirates of the Caribbean: At World's End,5/19/07,300000000,Adventure,961000000
1744,Knocked Up,6/1/07,30000000,Comedy,219076518
398,Ocean's Thirteen,6/7/07,85000000,Crime,311312624
318,Surf's Up,6/8/07,85000000,Animation,149044513
73,Evan Almighty,6/9/07,175000000,Fantasy,173000000
118,Ratatouille,6/22/07,150000000,Animation,623722818
111,Transformers,6/27/07,150000000,Adventure,709709780
113,Harry Potter and the Order of the Phoenix,6/28/07,150000000,Adventure,938212738
558,The Simpsons Movie,7/25/07,75000000,Animation,527068851
180,The Bourne Ultimatum,8/3/07,70000000,Action,442824138
591,Stardust,8/9/07,70000000,Adventure,135560026
2392,Superbad,8/17/07,20000000,Comedy,121463226
4577,Paranormal Activity,9/14/07,15000,Horror,193355800
1070,Resident Evil: Extinction,9/20/07,45000000,Horror,148412065
2021,The Game Plan,9/28/07,22000000,Comedy,147880543
2982,Saw IV,10/25/07,10000000,Horror,139352633
136,Bee Movie,10/28/07,150000000,Family,287594577
281,American Gangster,11/2/07,100000000,Drama,266465037
151,Beowulf,11/5/07,70000000,Adventure,195735876
391,Enchanted,11/20/07,85000000,Comedy,340487652
2398,Hitman,11/21/07,24000000,Action,99965753
23,The Golden Compass,12/4/07,180000000,Adventure,372234864
3334,Juno,12/5/07,7500000,Comedy,231411584
810,Alvin and the Chipmunks,12/13/07,60000000,Comedy,361366633
116,I Am Legend,12/14/07,150000000,Drama,585349010
524,Charlie Wilson's War,12/19/07,75000000,Comedy,119000410
1048,The Bucket List,12/25/07,45000000,Drama,175372502
1560,27 Dresses,1/10/08,30000000,Comedy,160259319
1826,Cloverfield,1/15/08,25000000,Action,170764026
849,Changeling,1/30/08,55000000,Crime,113020255
1178,Vantage Point,2/1/08,40000000,Drama,151161491
551,Fool's Gold,2/7/08,70000000,Romance,111231041
419,Jumper,2/10/08,85000000,Adventure,222231186
1572,Forgetting Sarah Marshall,4/17/08,30000000,Comedy,105173115
836,The Forbidden Kingdom,4/18/08,55000000,Action,127906624
68,Iron Man,4/30/08,140000000,Action,585174222
2666,Slumdog Millionaire,5/12/08,15000000,Drama,377910544
53,Indiana Jones and the Kingdom of the Crystal Skull,5/21/08,185000000,Adventure,786636033
181,Kung Fu Panda,6/4/08,130000000,Adventure,631744560
361,You Don't Mess with the Zohan,6/5/08,90000000,Comedy,201596308
723,The Happening,6/11/08,60000000,Thriller,163403799
512,Wanted,6/19/08,75000000,Action,258270008
437,Get Smart,6/19/08,80000000,Action,230685453
57,WALL·E,6/22/08,180000000,Animation,521311860
115,Hancock,7/1/08,150000000,Fantasy,624029371
71,The Mummy: Tomb of the Dragon Emperor,7/1/08,145000000,Adventure,401128639
1298,Chi bi,7/10/08,80341000,Adventure,127814609
65,The Dark Knight,7/16/08,185000000,Drama,1004558444
1783,Pineapple Express,8/6/08,27000000,Action,101624843
353,Tropic Thunder,8/9/08,92000000,Action,188072649
622,Body of Lies,10/10/08,70000000,Action,113280098
120,Madagascar: Escape 2 Africa,10/30/08,150000000,Family,603900354
11,Quantum of Solace,10/30/08,200000000,Adventure,586090727
1337,Twilight,11/20/08,37000000,Adventure,392616625
130,Bolt,11/21/08,150000000,Animation,309979994
100,The Curious Case of Benjamin Button,11/24/08,150000000,Fantasy,333932083
1813,Gran Torino,12/9/08,33000000,Drama,269958228
865,Seven Pounds,12/18/08,55000000,Drama,168167691
689,Marley & Me,12/25/08,60000000,Comedy,244082376
1576,Bride Wars,1/9/09,30000000,Comedy,114663461
1777,Paul Blart: Mall Cop,1/15/09,26000000,Action,183293131
2673,My Bloody Valentine,1/16/09,15000000,Mystery,100734718
722,Coraline,2/5/09,60000000,Animation,124596398
1162,He's Just Not That Into You,2/6/09,40000000,Comedy,177259441
163,Watchmen,3/5/09,130000000,Action,185258983
1184,17 Again,3/11/09,20000000,Comedy,136267476
898,The Twilight Saga: New Moon,3/15/09,50000000,Adventure,709827462
67,Monsters vs Aliens,3/19/09,175000000,Animation,381509870
922,Knowing,3/19/09,50000000,Action,155446362
1561,Hannah Montana: The Movie,4/10/09,35000000,Comedy,155545279
122,X-Men Origins: Wolverine,4/28/09,150000000,Adventure,373062864
121,Night at the Museum: Battle of the Smithsonian,5/20/09,150000000,Adventure,413106170
43,Terminator Salvation,5/20/09,200000000,Action,371353001
1150,The Proposal,6/1/09,40000000,Comedy,317375031
1356,The Hangover,6/5/09,35000000,Comedy,459270619
283,The Taking of Pelham 1 2 3,6/11/09,100000000,Thriller,150166126
35,Transformers: Revenge of the Fallen,6/19/09,150000000,Science Fiction,836297228
348,Ice Age: Dawn of the Dinosaurs,6/29/09,90000000,Animation,886686817
280,Public Enemies,7/1/09,80000000,History,214104620
8,Harry Potter and the Half-Blood Prince,7/7/09,250000000,Adventure,933959197
131,G-Force,7/21/09,150000000,Fantasy,292817841
1300,The Ugly Truth,7/24/09,38000000,Comedy,205298907
76,G.I. Joe: The Rise of Cobra,8/4/09,175000000,Adventure,302469017
1554,District 9,8/5/09,30000000,Science Fiction,210819611
1168,Julie & Julia,8/6/09,40000000,Romance,129540499
571,Inglourious Basterds,8/18/09,70000000,Drama,319131050
1186,The Final Destination,8/26/09,40000000,Horror,186167139
1565,Up in the Air,9/5/09,25000000,Drama,163670000
347,Cloudy with a Chance of Meatballs,9/17/09,100000000,Animation,242988466
705,Couples Retreat,9/19/09,70000000,Comedy,171844840
476,Surrogates,9/24/09,80000000,Action,122444772
1988,Zombieland,10/7/09,23600000,Comedy,102391382
59,2012,10/10/09,200000000,Action,769653595
293,Where the Wild Things Are,10/16/09,100000000,Family,100086793
60,A Christmas Carol,11/4/09,200000000,Animation,325233863
754,Planet 51,11/19/09,70000000,Science Fiction,104945765
1362,The Blind Side,11/20/09,29000000,Drama,309208309
